sample_id,speaker,dataset_split,ratio_bin,n_words_replaced,original_text,replaced_tail,new_text,duration,word_count_ok
zk_00000,116,test,low,2,에르도안 정부는 시리아 내전 초기 시리아 반군에 사람과 무기 공급을 용인한 것으로 알려져 극단주의 무장세력 이슬람국가 세력의 성장을 돕는다는 비판도 받았다,칭찬도 받았다,에르도안 정부는 시리아 내전 초기 시리아 반군에 사람과 무기 공급을 용인한 것으로 알려져 극단주의 무장세력 이슬람국가 세력의 성장을 돕는다는 칭찬도 받았다,12.8385,True
zk_00000,116,test,mid,3,에르도안 정부는 시리아 내전 초기 시리아 반군에 사람과 무기 공급을 용인한 것으로 알려져 극단주의 무장세력 이슬람국가 세력의 성장을 돕는다는 비판도 받았다,방해한다는 칭찬도 받았다,에르도안 정부는 시리아 내전 초기 시리아 반군에 사람과 무기 공급을 용인한 것으로 알려져 극단주의 무장세력 이슬람국가 세력의 성장을 방해한다는 칭찬도 받았다,12.8385,True
zk_00000,116,test,high,5,에르도안 정부는 시리아 내전 초기 시리아 반군에 사람과 무기 공급을 용인한 것으로 알려져 극단주의 무장세력 이슬람국가 세력의 성장을 돕는다는 비판도 받았다,세력의 약화를 막는다는 평가도 받았다,에르도안 정부는 시리아 내전 초기 시리아 반군에 사람과 무기 공급을 용인한 것으로 알려져 극단주의 무장세력 이슬람국가 세력의 약화를 막는다는 평가도 받았다,12.8385,True
zk_00001,116,test,low,2,재무제표를 통해서도 기업들이 실물투자보다는 현금성 자산 불리기에 주력하고 있음을 확인할 수 있다,없지 않다,재무제표를 통해서도 기업들이 실물투자보다는 현금성 자산 불리기에 주력하고 있음을 확인할 없지 않다,8.16825,True
zk_00001,116,test,mid,3,재무제표를 통해서도 기업들이 실물투자보다는 현금성 자산 불리기에 주력하고 있음을 확인할 수 있다,확인할 수 없다,재무제표를 통해서도 기업들이 실물투자보다는 현금성 자산 불리기에 주력하고 있음을 확인할 수 없다,8.16825,True
zk_00001,116,test,high,5,재무제표를 통해서도 기업들이 실물투자보다는 현금성 자산 불리기에 주력하고 있음을 확인할 수 있다,주력하지 않음을 알 수 있다,재무제표를 통해서도 기업들이 실물투자보다는 현금성 자산 불리기에 주력하지 않음을 알 수 있다,8.16825,True
zk_00002,116,test,low,2,또한 외국인들이 폰페이에 질병을 옮겨서 인구가 격감했다고 말하는 사람들도 있습니다,사람들도 없습니다,또한 외국인들이 폰페이에 질병을 옮겨서 인구가 격감했다고 말하는 사람들도 없습니다,7.3209375,True
zk_00002,116,test,mid,3,또한 외국인들이 폰페이에 질병을 옮겨서 인구가 격감했다고 말하는 사람들도 있습니다,침묵하는 사람들도 있습니다,또한 외국인들이 폰페이에 질병을 옮겨서 인구가 격감했다고 침묵하는 사람들도 있습니다,7.3209375,True
zk_00002,116,test,high,5,또한 외국인들이 폰페이에 질병을 옮겨서 인구가 격감했다고 말하는 사람들도 있습니다,인구가 증가했다고 말하는 사람들도 있습니다,또한 외국인들이 폰페이에 질병을 옮겨서 인구가 증가했다고 말하는 사람들도 있습니다,7.3209375,True
zk_00003,116,test,low,2,여덟 명만 불러서 조사하고 말아서는 안되는 것 아닌가라고 말했다,맞다고 말했다,여덟 명만 불러서 조사하고 말아서는 안되는 것 맞다고 말했다,6.023875,True
