split,idx,speaker,duration,sr,text,n_eojeol,n_char,est_ratio,ratio_bin,dataset_split,sample_id
train,5971,116,12.8385,16000,에르도안 정부는 시리아 내전 초기 시리아 반군에 사람과 무기 공급을 용인한 것으로 알려져 극단주의 무장세력 이슬람국가 세력의 성장을 돕는다는 비판도 받았다,21,66,0.13560877883039033,low(~15%),test,zk_00000
train,5986,116,8.16825,16000,재무제표를 통해서도 기업들이 실물투자보다는 현금성 자산 불리기에 주력하고 있음을 확인할 수 있다,12,42,0.21314397906699306,mid(15~30%),test,zk_00001
train,6015,116,7.3209375,16000,또한 외국인들이 폰페이에 질병을 옮겨서 인구가 격감했다고 말하는 사람들도 있습니다,10,36,0.23781289035918776,mid(15~30%),test,zk_00002
train,6020,116,6.023875,16000,여덟 명만 불러서 조사하고 말아서는 안되는 것 아닌가라고 말했다,9,27,0.2890188304063358,mid(15~30%),test,zk_00003
train,6022,116,8.100375,16000,홈쇼핑은 선택관광과 관련해선 상품 가격에 포함되지 않았다는 자막만 짧게 보여줬다,10,35,0.21492996398487307,mid(15~30%),test,zk_00004
train,6039,116,12.7201875,16000,대한변협은 당시 수사에 관여한 경찰들로부터 직무상범죄를 자인받았고 그 중 한 명에게 확인서를 작성받아 재판부에 증거로 제출했다,16,55,0.13687009778857162,low(~15%),test,zk_00005
train,6044,116,9.4350625,16000,사고 당시 청와대는 진도에서 여객선 조난신고가 왔냐며 배의 이름 도착 예정지 몇 톤 급인지에 정보를 요구했다,16,45,0.18452589021153448,mid(15~30%),test,zk_00006
train,6046,116,7.461125,16000,시어머니 모시는 문제로 사이가 나빠져 별거했고 이혼을 고려하던 상태였다,9,31,0.23334461049961852,mid(15~30%),test,zk_00007
train,6054,116,7.648125,16000,때문에 박 대통령이 이때까지도 상황 파악을 제대로 못하고 있었던 것 아니냐는 지적이 나왔다,13,38,0.22763923275495185,mid(15~30%),test,zk_00008
train,6074,116,8.1958125,16000,박 대통령의 지지율이 국정교과서 정국 이후 하락 추세를 보이고 있는 점도 작용했을 가능성이 있다,14,40,0.21242717631887822,mid(15~30%),test,zk_00009
test,310,121,5.284,16000,유열씨는 일본 국적자로 분류되면서 군대를 가지 않았다,7,23,0.32948775681566356,high(30%~),test,zk_00010
test,316,121,10.1035625,16000,당시는 시민들이 귀가하는 시간대였는데요 버스가 제자리에 없자 적지 않은 승객들이 추운 날씨 속에 버스를 더 오랫동안 기다려야 했습니다,18,57,0.17231677509927473,mid(15~30%),test,zk_00011
test,320,121,5.9018125,16000,그래야 아내가 내게서 위로와 힘을 얻을 수 있을 거라고 생각했거든요,10,28,0.294996377301713,mid(15~30%),test,zk_00012
test,321,121,6.5838125,16000,인류 역사 시초에 한 영적 피조물이 전능하신 하느님을 반역했습니다,9,28,0.2644384704172493,mid(15~30%),test,zk_00013
test,326,121,9.8729375,16000,경찰이 오는 십 일부터 메르스 여파로 일시 중단했던 음주단속을 재개하고 최근 불거지고 있는 보복운전에 대한 특별단속을 시행한다,17,54,0.1763419759330965,mid(15~30%),test,zk_00014
test,330,121,9.5360625,16000,독일을 보호하기 위하여 회스는 약 이백 만 명의 인명을 앗아 가는 일을 지휘하였는데 그중 대부분이 유대인이었습니다,16,48,0.18257150758124396,mid(15~30%),test,zk_00015
test,339,121,8.97,16000,글로벌 경제는 이천 칠 년 미국의 서브프라임 사태 이전까지 미국을 비롯한 선진국의 소비를 기초로 성장했다,15,44,0.19409289933266066,mid(15~30%),test,zk_00016
test,353,121,6.5631875,16000,아이 찾는다고 공원 터미널 등을 위험한 줄도 모르고 헤매고 다녔다고 말했다,11,31,0.2652694756951506,mid(15~30%),test,zk_00017
test,357,121,6.7549375,16000,김성현씨를 매개하지 않고서도 차씨와 최씨 사이의 연결고리는 다양하다,8,30,0.2577393657622985,mid(15~30%),test,zk_00018
test,364,121,5.5433125,16000,농민들을 위해 가장 절실한 의료법인 설립도 준비 중이다,8,23,0.3140745370234794,high(30%~),test,zk_00019
